fpl_id,full_name,position,latest_team,2023/24,2024/25,min_2023/24,min_2024/25,proj_pts,rep_dyn,vorp_dyn,rec_bid_dyn,tier_dyn,aav
473,Lewis Hall,DEF,Newcastle,38.0,102.0,773.0,2188.0,73.95081664522486,62.18306531579047,11.76775132943439,2.6,2,
317,Joachim Andersen,DEF,Fulham,121.0,51.0,3416.0,2673.0,73.57914930040015,62.18306531579047,11.396083984609675,2.52,2,
404,Manuel Akanji,DEF,Man City,112.0,61.0,2512.0,2012.0,72.9700782739611,62.18306531579047,10.787012958170621,2.39,2,
11,Benjamin White,DEF,Arsenal,182.0,50.0,2987.0,1195.0,72.65505240687077,62.18306531579047,10.471987091080294,2.32,2,
505,Nikola Milenković,DEF,Nott'm Forest,,145.0,,3330.0,71.5678532363013,62.18306531579047,9.384787920510831,2.08,2,
36,Matty Cash,DEF,Aston Villa,64.0,76.0,2138.0,2069.0,70.5775563065019,62.18306531579047,8.394490990711432,1.86,2,
226,Trevoh Chalobah,DEF,Chelsea,39.0,93.0,949.0,1969.0,67.47058811194567,62.18306531579047,5.287522796155201,1.17,2,
478,Kieran Trippier,DEF,Newcastle,111.0,72.0,2235.0,1299.0,66.24751921526864,62.18306531579047,4.064453899478167,0.9,2,
147,Pervis Estupiñán Tenorio,DEF,Brighton,57.0,63.0,1242.0,2399.0,65.39846457313853,62.18306531579047,3.2153992573480537,0.71,2,
261,Chris Richards,DEF,Crystal Palace,62.0,68.0,2091.0,1921.0,65.07526450971157,62.18306531579047,2.892199193921101,0.64,2,
41,Pau Torres,DEF,Aston Villa,85.0,55.0,2462.0,2019.0,64.27740983221808,62.18306531579047,2.0943445164276113,0.46,2,
569,Cristian Romero,DEF,Spurs,107.0,49.0,2790.0,1416.0,63.14050109795197,62.18306531579047,0.9574357821614967,0.21,2,
632,Matt Doherty,DEF,Wolves,41.0,75.0,1136.0,2105.0,62.269449001213864,62.18306531579047,0.08638368542339236,0.02,2,
228,Malo Gusto,DEF,Chelsea,74.0,60.0,1746.0,1853.0,62.18306531579047,62.18306531579047,0.0,0.0,2,
232,Tosin Adarabioyo,DEF,Chelsea,66.0,71.0,1616.0,1403.0,61.51315732173537,62.18306531579047,0.0,0.0,2,
410,Rico Lewis,DEF,Man City,52.0,66.0,804.0,1888.0,61.4758763918316,62.18306531579047,0.0,0.0,2,
73,Adam Smith,DEF,Bournemouth,80.0,57.0,2148.0,1586.0,61.16393729561584,62.18306531579047,0.0,0.0,2,
319,Timothy Castagne,DEF,Fulham,105.0,46.0,2630.0,1642.0,61.03179293367618,62.18306531579047,0.0,0.0,2,
257,Maxence Lacroix,DEF,Crystal Palace,,114.0,,3116.0,59.819386349428335,62.18306531579047,0.0,0.0,2,
146,Lewis Dunk,DEF,Brighton,89.0,44.0,2869.0,2081.0,59.68586865860835,62.18306531579047,0.0,0.0,2,
111,Ethan Pinnock,DEF,Brentford,77.0,47.0,2521.0,1912.0,57.793170596621884,62.18306531579047,0.0,0.0,2,
407,Matheus Nunes,DEF,Man City,32.0,81.0,831.0,1670.0,56.93064010696939,62.18306531579047,0.0,0.0,2,
574,Destiny Udogie,DEF,Spurs,79.0,43.0,2391.0,1923.0,55.74810047515149,62.18306531579047,0.0,0.0,2,
