fpl_id,full_name,team,position,season,minutes,goals,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,penalties_saved,penalties_missed,own_goals
38,Ezri Konsa Ngoyo,Aston Villa,DEF,2024/25,2936,2,0,8,45,1,0,0,0,0,0
39,Ian Maatsen,Aston Villa,DEF,2023/24,200,0,0,0,5,1,0,0,0,0,0
39,Ian Maatsen,Aston Villa,DEF,2024/25,1125,1,2,3,16,2,0,0,0,0,0
40,Tyrone Mings,Aston Villa,DEF,2023/24,30,0,0,0,2,0,0,0,0,0,0
40,Tyrone Mings,Aston Villa,DEF,2024/25,1119,0,1,4,11,1,0,0,0,0,0
41,Pau Torres,Aston Villa,DEF,2023/24,2462,2,0,6,37,1,0,0,0,0,0
41,Pau Torres,Aston Villa,DEF,2024/25,2019,0,0,5,33,2,0,0,0,0,0
42,Andrés García,Aston Villa,DEF,2024/25,316,0,0,0,5,0,0,0,0,0,0
43,Álex Moreno Lopera,Aston Villa,DEF,2023/24,1024,2,0,3,20,2,0,0,0,0,1
43,Álex Moreno Lopera,Aston Villa,DEF,2024/25,952,0,1,3,16,2,0,0,0,0,0
44,Lamare Bogarde,Aston Villa,DEF,2024/25,473,0,0,0,11,2,0,0,0,0,0
45,Lino da Cruz Sousa,Aston Villa,DEF,2024/25,0,0,0,0,0,0,0,0,0,0,0
47,Morgan Rogers,Aston Villa,MID,2023/24,636,3,1,2,13,3,0,0,0,0,0
47,Morgan Rogers,Aston Villa,MID,2024/25,3115,8,11,10,40,10,0,0,0,0,0
48,Youri Tielemans,Aston Villa,MID,2023/24,1613,2,6,4,27,3,0,0,0,0,0
48,Youri Tielemans,Aston Villa,MID,2024/25,3025,3,7,7,46,4,0,0,0,1,0
49,Leon Bailey,Aston Villa,MID,2023/24,2063,10,11,5,32,5,0,0,0,0,0
49,Leon Bailey,Aston Villa,MID,2024/25,1132,1,2,2,19,3,0,0,0,0,0
50,Emiliano Buendía Stati,Aston Villa,MID,2023/24,0,0,0,0,0,0,0,0,0,0,0
50,Emiliano Buendía Stati,Aston Villa,MID,2024/25,89,0,0,0,2,1,0,0,0,0,0
51,Samuel Iling-Junior,Aston Villa,MID,2024/25,0,0,0,0,0,0,0,0,0,0,0
52,Jacob Ramsey,Aston Villa,MID,2023/24,848,1,1,0,12,2,0,0,0,0,0
52,Jacob Ramsey,Aston Villa,MID,2024/25,1616,1,4,5,26,2,1,0,0,0,0
53,Donyell Malen,Aston Villa,MID,2024/25,296,3,0,0,6,0,0,0,0,0,0
54,John McGinn,Aston Villa,MID,2023/24,3000,6,5,7,54,9,1,0,0,0,0
54,John McGinn,Aston Villa,MID,2024/25,2217,1,4,8,34,7,0,0,0,0,0
55,Ross Barkley,Aston Villa,MID,2023/24,2616,5,5,2,66,6,0,0,0,0,0
55,Ross Barkley,Aston Villa,MID,2024/25,567,3,1,1,10,3,0,0,0,0,0
56,Enzo Barrenechea,Aston Villa,MID,2024/25,0,0,0,0,0,0,0,0,0,0,0
57,Lewis Dobbin,Aston Villa,MID,2023/24,226,1,0,1,3,1,0,0,0,0,0
57,Lewis Dobbin,Aston Villa,MID,2024/25,0,0,0,0,0,0,0,0,0,0,0
58,Boubacar Kamara,Aston Villa,MID,2023/24,1653,0,1,7,22,7,1,0,0,0,0
58,Boubacar Kamara,Aston Villa,MID,2024/25,1720,1,0,6,22,2,0,0,0,0,0
59,Amadou Onana,Aston Villa,MID,2023/24,2085,2,0,5,38,5,0,0,0,0,0
59,Amadou Onana,Aston Villa,MID,2024/25,1613,3,0,6,23,4,0,0,0,0,0
60,Ben Broggio,Aston Villa,MID,2024/25,0,0,0,0,0,0,0,0,0,0,0
61,Leander Dendoncker,Aston Villa,MID,2023/24,118,1,1,0,3,0,0,0,0,0,0
61,Leander Dendoncker,Aston Villa,MID,2024/25,0,0,0,0,0,0,0,0,0,0,0
62,Jamaldeen Jimoh-Aloba,Aston Villa,MID,2024/25,0,0,0,0,0,0,0,0,0,0,0
63,Kadan Young,Aston Villa,MID,2023/24,0,0,0,0,0,0,0,0,0,0,0
63,Kadan Young,Aston Villa,MID,2024/25,0,0,0,0,0,0,0,0,0,0,0
64,Ollie Watkins,Aston Villa,FWD,2023/24,3222,19,18,7,56,4,0,0,0,0,0
64,Ollie Watkins,Aston Villa,FWD,2024/25,2593,16,8,10,40,2,0,0,0,0,0
186,Connor Roberts,Burnley,DEF,2023/24,817,0,1,0,23,3,1,0,0,0,0
187,Kyle Walker,Burnley,DEF,2023/24,2766,0,5,10,29,2,0,0,0,0,0
187,Kyle Walker,Burnley,DEF,2024/25,966,0,0,0,21,3,0,0,0,0,0
188,Hannes Delcroix,Burnley,DEF,2023/24,584,0,0,0,25,2,0,0,0,0,0
189,Owen Dodgson,Burnley,DEF,2023/24,0,0,0,0,0,0,0,0,0,0,0
190,Hjalmar Ekdal,Burnley,DEF,2023/24,436,0,0,1,8,2,0,0,0,0,0
191,Maxime Estève,Burnley,DEF,2023/24,1310,0,0,0,28,6,0,0,0,0,0
193,Bashir Humphreys,Burnley,DEF,2023/24,0,0,0,0,0,0,0,0,0,0,0
194,Jordan Beyer,Burnley,DEF,2023/24,1234,0,1,2,23,6,0,0,0,0,0
198,Axel Tuanzebe,Burnley,DEF,2024/25,1710,0,1,1,38,3,1,0,0,0,1
199,Joe Worrall,Burnley,DEF,2023/24,438,0,0,1,9,0,1,0,0,0,0
199,Joe Worrall,Burnley,DEF,2024/25,0,0,0,0,0,0,0,0,0,0,0
200,Jaidon Anthony,Burnley,MID,2023/24,151,0,0,0,5,1,0,0,0,0,0
200,Jaidon Anthony,Burnley,MID,2024/25,0,0,0,0,0,0,0,0,0,0,0
201,Manuel Benson Hedilazio,Burnley,MID,2023/24,110,0,0,0,5,0,0,0,0,0,0
202,Jacob Bruun Larsen,Burnley,MID,2023/24,1235,6,0,3,23,1,0,0,0,0,0
203,Enock Agyei,Burnley,MID,2023/24,0,0,0,0,0,0,0,0,0,0,0
204,Darko Churlinov,Burnley,MID,2023/24,0,0,0,0,0,0,0,0,0,0,0
205,Josh Cullen,Burnley,MID,2023/24,2055,2,4,0,48,9,0,0,0,0,0
207,Hannibal Mejbri,Burnley,MID,2023/24,131,1,0,1,1,1,0,0,0,0,0
207,Hannibal Mejbri,Burnley,MID,2024/25,0,0,0,0,0,0,0,0,0,0,0
208,Luca Koleosho,Burnley,MID,2023/24,972,1,2,3,23,0,0,0,0,0,0
211,Aaron Ramsey,Burnley,MID,2023/24,522,0,0,0,17,1,0,0,0,0,0
214,Mike Trésor Ndayishimiye,Burnley,MID,2023/24,410,0,0,0,10,0,0,0,0,0,0
216,Zeki Amdouni,Burnley,FWD,2023/24,1953,5,1,5,41,2,0,0,0,0,0
217,Lyle Foster,Burnley,FWD,2023/24,1898,5,3,2,43,0,1,0,0,0,0
219,Michael Obafemi,Burnley,FWD,2023/24,19,0,0,0,0,0,0,0,0,0,0
470,Martin Dúbravka,Burnley,GK,2023/24,1984,0,0,4,42,1,0,88,1,0,0
470,Martin Dúbravka,Burnley,GK,2024/25,900,0,0,5,12,0,0,29,0,0,0
676,Lesley Ugochukwu,Burnley,MID,2023/24,296,0,0,1,6,2,0,0,0,0,0
676,Lesley Ugochukwu,Burnley,MID,2024/25,1652,1,1,1,39,7,0,0,0,0,0
680,Armando Broja,Burnley,FWD,2023/24,529,1,2,3,9,0,0,0,0,0,0
680,Armando Broja,Burnley,FWD,2024/25,327,0,0,2,2,1,0,0,0,0,0
66,Norberto Murara Neto,Bournemouth,GK,2023/24,2880,0,0,7,55,5,0,113,1,0,0
66,Norberto Murara Neto,Bournemouth,GK,2024/25,180,0,0,0,2,0,0,11,0,0,0
67,Đorđe Petrović,Bournemouth,GK,2023/24,1986,0,0,5,38,2,0,75,0,0,0
67,Đorđe Petrović,Bournemouth,GK,2024/25,0,0,0,0,0,0,0,0,0,0,0
68,Will Dennis,Bournemouth,GK,2024/25,0,0,0,0,0,0,0,0,0,0,0
69,Callan McKenna,Bournemouth,GK,2023/24,0,0,0,0,0,0,0,0,0,0,0
69,Callan McKenna,Bournemouth,GK,2024/25,0,0,0,0,0,0,0,0,0,0,0
70,Alex Paulsen,Bournemouth,GK,2024/25,0,0,0,0,0,0,0,0,0,0,0
71,Illia Zabarnyi,Bournemouth,DEF,2023/24,3330,1,0,8,67,5,0,0,0,0,0
71,Illia Zabarnyi,Bournemouth,DEF,2024/25,3109,0,1,8,42,4,1,0,0,0,0
72,Marcos Senesi Barón,Bournemouth,DEF,2023/24,2239,4,5,6,44,13,0,0,0,0,0
72,Marcos Senesi Barón,Bournemouth,DEF,2024/25,1103,0,0,2,17,5,0,0,0,0,0
73,Adam Smith,Bournemouth,DEF,2023/24,2148,0,3,8,33,6,0,0,0,0,0
73,Adam Smith,Bournemouth,DEF,2024/25,1586,0,0,6,18,7,0,0,0,0,0
75,Matai Akinmboni,Bournemouth,DEF,2024/25,0,0,0,0,0,0,0,0,0,0,0
77,James Hill,Bournemouth,DEF,2023/24,74,0,0,0,1,0,0,0,0,0,0
77,James Hill,Bournemouth,DEF,2024/25,443,0,1,1,9,1,0,0,0,0,0
78,Julián Araujo Zúñiga,Bournemouth,DEF,2024/25,492,0,0,0,10,2,0,0,0,0,0
79,Chris Mepham,Bournemouth,DEF,2023/24,613,0,1,1,16,2,0,0,0,0,0
79,Chris Mepham,Bournemouth,DEF,2024/25,0,0,0,0,0,0,0,0,0,0,0
80,Julio Soler Barreto,Bournemouth,DEF,2024/25,9,0,0,0,1,0,0,0,0,0,0
81,Justin Kluivert,Bournemouth,MID,2023/24,1910,7,1,11,23,5,0,0,0,0,0
81,Justin Kluivert,Bournemouth,MID,2024/25,2339,12,6,13,29,8,0,0,0,0,0
82,Antoine Semenyo,Bournemouth,MID,2023/24,2099,8,4,8,33,6,0,0,0,0,0
82,Antoine Semenyo,Bournemouth,MID,2024/25,3202,11,7,11,41,9,0,0,0,0,0
83,Dango Ouattara,Bournemouth,MID,2023/24,1214,1,2,5,24,3,0,0,0,0,0
