fpl_id,2023/24,2024/25,min_2023/24,min_2024/25,full_name,position,latest_team
91,43.0,23.0,685.0,229.0,Luis Sinisterra Lucumí,MID,Bournemouth
92,4.0,0.0,37.0,0.0,Romain Faivre,MID,Bournemouth
93,3.0,0.0,44.0,0.0,Hamed Traorè,MID,Bournemouth
94,1.0,0.0,1.0,0.0,Dominic Sadi,MID,Bournemouth
95,,1.0,,1.0,Zain Silcott-Duberry,MID,Bournemouth
96,,4.0,,22.0,Ben Winterburn,MID,Bournemouth
97,,128.0,,2317.0,Francisco Evanilson de Lima Barbosa,FWD,Bournemouth
98,40.0,32.0,317.0,330.0,Enes Ünal,FWD,Bournemouth
99,,0.0,,0.0,Daniel Adu-Adjei,FWD,Bournemouth
101,34.0,45.0,900.0,900.0,Caoimhín Kelleher,GK,Brentford
102,0.0,,0.0,,Ellery Balcombe,GK,Brentford
103,0.0,,0.0,,Matthew Cox,GK,Brentford
104,,0.0,,0.0,Julian Eyestone,GK,Brentford
105,0.0,2.0,0.0,144.0,Hákon Rafn Valdimarsson,GK,Brentford
106,84.0,127.0,2649.0,3420.0,Nathan Collins,DEF,Brentford
107,73.0,94.0,1428.0,3092.0,Keane Lewis-Potter,DEF,Brentford
108,68.0,39.0,1826.0,1433.0,Kristoffer Ajer,DEF,Brentford
109,13.0,4.0,401.0,94.0,Rico Henry,DEF,Brentford
110,,27.0,,523.0,Michael Kayode,DEF,Brentford
111,77.0,47.0,2521.0,1912.0,Ethan Pinnock,DEF,Brentford
112,75.0,36.0,1975.0,1100.0,Mads Roerslev Rasmussen,DEF,Brentford
113,0.0,62.0,0.0,2584.0,Sepp van den Berg,DEF,Brentford
114,0.0,0.0,0.0,0.0,Benjamin Arthur,DEF,Brentford
115,0.0,0.0,0.0,0.0,Benjamin Fredrick,DEF,Brentford
116,17.0,0.0,713.0,0.0,Aaron Hickey,DEF,Brentford
117,0.0,3.0,0.0,28.0,Kim Ji-soo,DEF,Brentford
118,,1.0,,4.0,Jayden Meghoma,DEF,Brentford
119,127.0,236.0,1957.0,3415.0,Bryan Mbeumo,MID,Man Utd
120,33.0,149.0,327.0,2281.0,Kevin Schade,MID,Brentford
121,45.0,131.0,829.0,2911.0,Mikkel Damsgaard,MID,Brentford
123,,35.0,,443.0,Fábio Freitas Gouveia Carvalho,MID,Brentford
124,0.0,,0.0,,Jordan Henderson,MID,Brentford
125,93.0,73.0,3054.0,2251.0,Vitaly Janelt,MID,Brentford
126,98.0,38.0,2201.0,846.0,Mathias Jensen,MID,Brentford
127,,3.0,,11.0,Gustavo Nunes Fernandes Gomes,MID,Brentford
128,39.0,2.0,1147.0,23.0,Frank Onyeka,MID,Brentford
129,33.0,43.0,670.0,1435.0,Yehor Yarmoliuk,MID,Brentford
131,0.0,10.0,0.0,53.0,Yunus Emre Konak,MID,Brentford
132,,8.0,,112.0,Paris Maghoma,MID,Brentford
133,3.0,0.0,11.0,0.0,Myles Peart-Harris,MID,Brentford
134,0.0,1.0,0.0,3.0,Ryan Trevitt,MID,Brentford
135,131.0,185.0,2488.0,2921.0,Yoane Wissa,FWD,Brentford
136,,9.0,,167.0,Igor Thiago Nascimento Rodrigues,FWD,Brentford
137,,0.0,,0.0,Iwan Morgan,FWD,Brentford
138,42.0,9.0,1530.0,180.0,Jason Steele,GK,Brighton
139,68.0,103.0,1890.0,3240.0,Bart Verbruggen,GK,Brighton
140,0.0,,0.0,,Tom McGill,GK,Brighton
141,,0.0,,0.0,Carl Rushworth,GK,Brighton
142,0.0,,0.0,,Kjell Scherpen,GK,Brighton
146,89.0,44.0,2869.0,2081.0,Lewis Dunk,DEF,Brighton
147,57.0,63.0,1242.0,2399.0,Pervis Estupiñán Tenorio,DEF,Brighton
148,,19.0,,385.0,Ferdi Kadıoğlu,DEF,Brighton
149,37.0,18.0,1631.0,959.0,Igor Julio dos Santos de Paulo,DEF,Brighton
150,31.0,42.0,908.0,856.0,Tariq Lamptey,DEF,Brighton
151,61.0,87.0,2368.0,2960.0,Jan Paul van Hecke,DEF,Brighton
152,49.0,59.0,1579.0,1694.0,Joël Veltman,DEF,Brighton
153,26.0,39.0,1142.0,885.0,Adam Webster,DEF,Brighton
154,,1.0,,19.0,Eiran Cashin,DEF,Brighton
155,,0.0,,0.0,Jacob Slater,DEF,Brighton
156,,0.0,,0.0,Charlie Tasker,DEF,Brighton
157,74.0,145.0,1485.0,2597.0,Mitoma Kaoru,MID,Brighton
158,,95.0,,1651.0,Georginio Rutter,MID,Brighton
159,39.0,7.0,555.0,161.0,Solly March,MID,Brighton
160,,102.0,,1831.0,Yankuba Minteh,MID,Brighton
161,20.0,59.0,468.0,1155.0,Julio Enciso Espínola,MID,Brighton
162,,45.0,,676.0,Brajan Gruda,MID,Brighton
163,42.0,89.0,866.0,1839.0,Jack Hinshelwood,MID,Brighton
164,,50.0,,929.0,Matt O'Riley,MID,Brighton
166,0.0,74.0,0.0,1958.0,Yasin Ayari,MID,Brighton
167,34.0,87.0,1314.0,2660.0,Carlos Baleba,MID,Brighton
168,57.0,75.0,1356.0,1508.0,Facundo Buonanotte,MID,Brighton
169,,30.0,,507.0,Diego Gómez Amarilla,MID,Brighton
170,28.0,6.0,770.0,170.0,James Milner,MID,Brighton
171,0.0,1.0,0.0,8.0,Jeremy Sarmiento Morante,MID,Brighton
173,,52.0,,1003.0,Mats Wieffer,MID,Brighton
175,,0.0,,0.0,Joe Knight,MID,Brighton
176,,0.0,,0.0,Adrian Mazilu,MID,Brighton
177,,0.0,,0.0,Andrew Moran,MID,Brighton
178,79.0,125.0,1687.0,2109.0,Danny Welbeck,FWD,Brighton
179,69.0,28.0,1356.0,385.0,Evan Ferguson,FWD,Brighton
182,70.0,,2520.0,,James Trafford,GK,Man City
186,12.0,,817.0,,Connor Roberts,DEF,Burnley
187,123.0,13.0,2766.0,966.0,Kyle Walker,DEF,Burnley
188,7.0,,584.0,,Hannes Delcroix,DEF,Burnley
189,0.0,,0.0,,Owen Dodgson,DEF,Burnley
190,15.0,,436.0,,Hjalmar Ekdal,DEF,Burnley
191,15.0,,1310.0,,Maxime Estève,DEF,Burnley
193,0.0,,0.0,,Bashir Humphreys,DEF,Burnley
194,30.0,,1234.0,,Jordan Beyer,DEF,Burnley
198,,27.0,,1710.0,Axel Tuanzebe,DEF,Burnley
199,13.0,0.0,438.0,0.0,Joe Worrall,DEF,Burnley
200,3.0,0.0,151.0,0.0,Jaidon Anthony,MID,Burnley
201,8.0,,110.0,,Manuel Benson Hedilazio,MID,Burnley
202,82.0,,1235.0,,Jacob Bruun Larsen,MID,Burnley
203,0.0,,0.0,,Enock Agyei,MID,Burnley
204,0.0,,0.0,,Darko Churlinov,MID,Burnley
205,65.0,,2055.0,,Josh Cullen,MID,Burnley
207,11.0,0.0,131.0,0.0,Hannibal Mejbri,MID,Burnley
208,40.0,,972.0,,Luca Koleosho,MID,Burnley
211,18.0,,522.0,,Aaron Ramsey,MID,Burnley
214,20.0,,410.0,,Mike Trésor Ndayishimiye,MID,Burnley
216,85.0,,1953.0,,Zeki Amdouni,FWD,Burnley
217,75.0,,1898.0,,Lyle Foster,FWD,Burnley
219,2.0,,19.0,,Michael Obafemi,FWD,Burnley
220,59.0,126.0,1433.0,2880.0,Robert Lynch Sánchez,GK,Chelsea
221,,18.0,,540.0,Filip Jörgensen,GK,Chelsea
223,0.0,,0.0,,Gabriel Słonina,GK,Chelsea
224,44.0,133.0,1783.0,2988.0,Marc Cucurella Saseta,DEF,Chelsea
225,11.0,54.0,416.0,1057.0,Reece James,DEF,Chelsea
226,39.0,93.0,949.0,1969.0,Trevoh Chalobah,DEF,Chelsea
227,65.0,109.0,1794.0,3150.0,Levi Samuels Colwill,DEF,Chelsea
228,74.0,60.0,1746.0,1853.0,Malo Gusto,DEF,Chelsea
229,35.0,7.0,1337.0,332.0,Benoît Badiashile Mukinayi,DEF,Chelsea
230,0.0,26.0,0.0,1172.0,Wesley Fofana,DEF,Chelsea
232,66.0,71.0,1616.0,1403.0,Tosin Adarabioyo,DEF,Chelsea
233,1.0,4.0,5.0,168.0,Josh Acheampong,DEF,Chelsea
234,,0.0,,0.0,Aarón Anselmino,DEF,Chelsea
235,244.0,214.0,2617.0,3193.0,Cole Palmer,MID,Chelsea
236,86.0,104.0,1516.0,2262.0,Pedro Lomba Neto,MID,Chelsea
237,77.0,135.0,2208.0,2943.0,Enzo Fernández,MID,Chelsea
240,29.0,60.0,437.0,904.0,Christopher Nkunku,MID,Chelsea
241,84.0,98.0,2865.0,3351.0,Moisés Caicedo Corozo,MID,Chelsea
242,,18.0,,257.0,Kiernan Dewsbury-Hall,MID,Everton
243,0.0,17.0,0.0,177.0,Tyrique George,MID,Chelsea
244,1.0,26.0,32.0,792.0,Roméo Lavia,MID,Chelsea
